ID,Drug1_Name,Drug1_CID,Drug1_DBID,Drug2_Name,Drug2_CID,Drug2_DBID,Y_Score,Risk_Label,NegSample,Chem_Sim,Same_Enzyme,SideEffect_Sim,Shared_Targets,ATC_Similarity
68,Linaclotide,CID76025,DB24350,Pantoprazole,CID784618,DB15445,268,Moderate,No,0.84,1,0.26,7,0.07
69,Lovastatin,CID352192,DB40867,Celecoxib,CID581687,DB43645,386,Moderate,No,0.44,1,0.39,2,0.76
70,Ciprofloxacin,CID530572,DB42714,Norethindrone,CID999448,DB55140,629,High,No,0.4,1,0.13,6,0.55
71,Azelastine,CID55405,DB28929,Tadalafil,CID998628,DB89479,551,High,No,0.67,1,0.97,1,0.27
72,Carbamazepine,CID746154,DB34334,Colchicine,CID745191,DB58811,254,Moderate,No,0.22,0,0,0,0.24
73,Carvedilol,CID482224,DB68777,Warfarin,CID721949,DB15994,591,High,No,0.62,1,0.5,7,0.36
74,Sertraline,CID451670,DB66005,Senna; Docusate,CID911864,DB55833,390,Moderate,No,0.36,0,0.08,1,0.2
75,Anastrozole,CID169550,DB13534,Insulin Human; Insulin Isophane Human,CID962769,DB31542,146,Low,No,0.28,1,0.64,2,0.49
76,Empagliflozin,CID743716,DB92012,Thyroid,CID265172,DB36293,731,High,No,0.08,1,0.58,1,0.35
77,Amitriptyline,CID692457,DB90689,Ivermectin,CID394145,DB92549,323,Moderate,No,0.95,1,0.76,0,0.84
78,Gabapentin,CID98901,DB65344,Sertraline,CID688691,DB68007,774,High,No,0.63,1,0.36,8,0.27
79,Tirzepatide,CID619390,DB63345,Acetaminophen; Codeine,CID330390,DB29150,792,High,No,0.69,1,0.44,5,0.17
80,Hydrochlorothiazide; Losartan,CID896671,DB47208,Albuterol,CID604068,DB58537,58,Low,No,0.65,1,0.71,6,0.51
81,Duloxetine,CID794654,DB60478,Quetiapine,CID576444,DB36822,255,Moderate,No,0.2,1,0.22,3,0.2
82,Omega-3-acid Ethyl Esters,CID6514,DB70923,Morphine,CID587196,DB50164,57,Low,No,0.21,0,0.27,10,0.26
83,Mesalamine,CID498310,DB32319,Colchicine,CID401135,DB27812,489,Moderate,No,0.25,1,0.58,4,0.08
84,Rimegepant,CID782212,DB56161,Bupropion,CID995899,DB86237,181,Low,No,0.73,1,0.47,5,0.13
85,Insulin Degludec,CID654165,DB85674,Celecoxib,CID521365,DB29361,176,Low,No,0.92,0,0.33,4,0.46
86,Betamethasone; Clotrimazole,CID818948,DB31359,Carvedilol,CID612174,DB32437,484,Moderate,No,0.84,0,0.04,9,0.11
87,Mirabegron,CID170285,DB10270,Amlodipine; Benazepril,CID12931,DB78834,291,Moderate,No,0.07,0,0.69,5,0.58
88,Amoxicillin,CID964885,DB10073,Fluoxetine,CID699826,DB31346,367,Moderate,No,0.55,1,0.5,10,0.43
89,Budesonide,CID441652,DB62391,Amitriptyline,CID65820,DB60507,505,High,No,0.84,0,0.02,6,0.12
90,Tiotropium,CID375070,DB98318,Dulaglutide,CID919232,DB39213,133,Low,No,0.23,1,0.23,4,0.78
91,Oxycodone,CID325789,DB42756,Amoxicillin,CID114346,DB94784,641,High,No,0.18,0,0.45,3,0.61
92,Amlodipine,CID460503,DB26078,Oxycodone,CID184031,DB98307,610,High,No,0.37,1,0.27,4,0.73
93,Topiramate,CID505675,DB68121,Memantine,CID285893,DB91608,398,Moderate,No,0.36,1,0.95,0,0.62
94,Rosuvastatin,CID6732,DB62983,Carvedilol,CID445630,DB81452,561,High,No,0.82,0,0.5,5,0.76
95,Ketorolac,CID207151,DB44926,Methylphenidate,CID828039,DB29726,617,High,No,0.3,0,0.6,0,0.79
96,Emtricitabine; Tenofovir,CID189670,DB38638,Ondansetron,CID6770,DB62490,530,High,No,0.87,0,0.75,8,0.95
97,Brompheniramine; Dextromethorphan; Pseudoephedrine,CID29295,DB11934,Pantoprazole,CID958724,DB87967,746,High,No,0.25,0,0.17,10,0.62
98,Fexofenadine,CID138835,DB18219,Mupirocin,CID958835,DB64759,699,High,No,0.14,0,0.51,0,0.59
99,Guanfacine,CID302782,DB34463,Sodium Salts,CID423172,DB66819,512,High,No,0.42,1,0.03,7,0.91
100,Famotidine,CID587926,DB15408,Glipizide,CID608924,DB81939,133,Low,No,0.53,1,0.36,4,0.76
101,Torsemide,CID846344,DB21826,Tirzepatide,CID926337,DB20681,455,Moderate,No,0.97,0,0.4,5,0.56
102,Ticagrelor,CID63796,DB86388,Acetaminophen; Codeine,CID466746,DB56801,236,Moderate,No,0.06,1,0.95,2,0.57
103,Fluoxetine,CID388067,DB80240,Rizatriptan,CID763241,DB53554,592,High,No,0.2,1,0.05,0,0.91
104,Emtricitabine; Tenofovir,CID71654,DB74227,Ciclopirox,CID58122,DB84135,377,Moderate,No,0.24,0,0.28,7,0.91
105,Riboflavin,CID877363,DB96732,Escitalopram,CID123190,DB21768,330,Moderate,No,0.09,1,0.74,2,0.14
106,Nystatin,CID307667,DB34679,Olanzapine,CID338640,DB26791,576,High,No,0.29,0,0.49,6,0.17
107,Ethinyl Estradiol; Norelgestromin,CID713281,DB59796,Aspirin,CID480482,DB94506,609,High,No,0.27,1,0.71,1,0.38
108,Diltiazem,CID799362,DB58833,Warfarin,CID814037,DB78421,721,High,No,0.65,0,0.47,0,0.58
109,Bisoprolol,CID160470,DB20795,Clonidine,CID83253,DB27126,329,Moderate,No,0.22,1,0.66,2,0.1
110,Doxepin,CID964123,DB81948,Levofloxacin,CID356761,DB21782,538,High,No,0.05,0,0.25,10,0.12
111,Prednisone,CID837551,DB10216,Olopatadine,CID609246,DB73959,563,High,No,0.56,0,0.32,9,0.1
112,Clobetasol,CID419167,DB24831,Buspirone,CID48358,DB30659,219,Moderate,No,0.75,1,0.68,6,0.43
113,Hydrochlorothiazide; Lisinopril,CID779558,DB84067,Bimatoprost,CID684000,DB77545,194,Low,No,0.69,0,0.75,2,0.96
114,Memantine,CID844709,DB73815,Sacubitril; Valsartan,CID251024,DB44118,362,Moderate,No,0.57,0,0.57,7,0.22
115,Buspirone,CID498577,DB40792,Budesonide; Formoterol,CID153211,DB87918,648,High,No,0.02,0,0.88,8,0.18
116,Topiramate,CID143998,DB34469,Ethinyl Estradiol; Norgestrel,CID633575,DB67906,171,Low,No,0.08,0,0.04,1,0.59
117,Folic Acid,CID761398,DB19267,Glimepiride,CID206532,DB50378,763,High,No,0.97,1,0.14,7,0.03
118,Atenolol,CID224224,DB53757,Ramipril,CID322789,DB44773,449,Moderate,No,0.68,1,0.75,2,0.6
119,Docusate,CID115868,DB99543,Aspirin,CID884892,DB42005,31,Safe,Yes,0.33,1,0.18,4,0.58
120,Dicyclomine,CID30162,DB87118,Mirabegron,CID294816,DB61511,129,Low,No,0.91,1,0.23,8,0.63
121,Clobetasol,CID20937,DB76310,Insulin Degludec,CID99196,DB81629,494,Moderate,No,0.67,1,0.78,3,0.27
122,Lactulose,CID723467,DB63545,Pregabalin,CID907163,DB34762,338,Moderate,No,0.05,0,0.53,0,0.62
123,Amoxicillin,CID687404,DB78886,Esomeprazole,CID634331,DB40803,386,Moderate,No,0.74,0,0.73,9,0.46
124,Verapamil,CID949605,DB20109,Bisacodyl,CID853396,DB52997,418,Moderate,No,0.61,1,0.99,4,0.46
125,Calcium,CID344080,DB58135,Guanfacine,CID805655,DB21016,257,Moderate,No,0.84,1,0.84,8,0.11
126,Ramipril,CID708638,DB64154,Loratadine,CID239209,DB80808,297,Moderate,No,0.44,0,0.95,8,0.37
127,Topiramate,CID962550,DB26239,Cefdinir,CID405193,DB38774,793,High,No,0.97,1,0.75,8,0.95
128,Baclofen,CID746769,DB39706,Medroxyprogesterone,CID238933,DB56840,450,Moderate,No,0.04,0,0.37,2,0.16
129,Tramadol,CID393441,DB39825,Ethinyl Estradiol; Norethindrone,CID256924,DB74433,756,High,No,0.57,1,0.14,9,0.36
130,Calcitriol,CID56656,DB49240,Dorzolamide; Timolol,CID163187,DB37552,477,Moderate,No,0.95,1,0.58,3,0.7
131,Diazepam,CID676928,DB60243,Dexamethasone; Neomycin; Polymyxin B,CID478602,DB83411,108,Low,No,0.91,1,0.31,3,0.27
132,Levothyroxine,CID340663,DB68782,Niacin,CID632124,DB42821,527,High,No,0.35,1,0.71,7,0.42
133,Buspirone,CID738780,DB30929,Sulfamethoxazole; Trimethoprim,CID106292,DB51762,530,High,No,0.37,1,0.47,3,0.19
134,Hydroquinone,CID520592,DB64797,Dutasteride,CID439177,DB89849,764,High,No,0.14,0,0.69,9,0.32
135,Dextroamphetamine,CID324547,DB22158,Atropine; Diphenoxylate,CID13570,DB10545,442,Moderate,No,0.97,1,0.21,3,0.93
136,Erythromycin,CID834672,DB74657,Codeine; Guaifenesin,CID586614,DB14697,576,High,No,0.34,0,0.64,2,0.65
137,Methylprednisolone,CID52651,DB18320,Ramipril,CID572066,DB32263,411,Moderate,No,0.9,0,0.91,0,0.88
138,Fexofenadine,CID795030,DB12326,Betamethasone,CID977515,DB71059,517,High,No,0.41,1,0.82,6,0.03
139,Omeprazole,CID577791,DB93936,Fexofenadine,CID577757,DB51456,373,Moderate,No,0.7,0,0.18,7,0.28
140,Omeprazole,CID769794,DB51229,Amitriptyline,CID655739,DB80968,417,Moderate,No,0.85,1,0.05,2,0.64
141,Doxepin,CID724294,DB65193,Methylphenidate,CID740846,DB85437,720,High,No,0.76,1,0.5,9,0.39
142,Simvastatin,CID660100,DB14186,Loratadine; Pseudoephedrine,CID582721,DB42939,530,High,No,0.05,0,0.22,8,0.75
143,Insulin Aspart,CID784413,DB23777,Senna; Docusate,CID776363,DB36615,16,Safe,Yes,0.03,1,0.25,5,0.8
144,Cyclosporine,CID872069,DB65993,Zolpidem,CID127864,DB80333,135,Low,No,0.55,1,0.32,4,0.67
145,Sertraline,CID90279,DB10844,Amoxicillin,CID187675,DB69927,611,High,No,0.29,1,0.75,8,0.48
146,Prednisolone,CID455454,DB52956,Tretinoin,CID122643,DB14048,345,Moderate,No,0.84,0,0.44,8,0.57
147,Sumatriptan,CID174747,DB58277,Melatonin,CID286356,DB18878,576,High,No,0.19,0,0.43,7,0.19
148,Fexofenadine,CID815919,DB24643,Latanoprost,CID228476,DB65471,635,High,No,0.9,1,0.57,10,0.68
149,Pravastatin,CID17379,DB97391,Insulin Glargine,CID115236,DB77085,26,Safe,Yes,0.79,0,0.19,4,1
150,Ethinyl Estradiol; Norelgestromin,CID824396,DB22098,Ezetimibe,CID998655,DB99312,511,High,No,0.35,1,1,1,0.97
151,Ethinyl Estradiol; Levonorgestrel,CID62111,DB25998,Mirabegron,CID761301,DB72969,419,Moderate,No,0.94,1,0.29,9,0.96
152,Rosuvastatin,CID20732,DB85497,Cholecalciferol,CID921855,DB28816,350,Moderate,No,0.62,0,0.99,8,0.39
153,Acetaminophen,CID620096,DB36333,Loratadine; Pseudoephedrine,CID220707,DB15155,503,High,No,0.83,0,0.9,3,0.18
154,Hydralazine,CID247717,DB99591,Warfarin,CID595717,DB37755,277,Moderate,No,0.98,0,0.57,7,0.76
155,Fluticasone; Vilanterol,CID539127,DB39541,Lithium,CID7548,DB99679,281,Moderate,No,0.44,1,0.13,4,0.32
156,Atenolol,CID417026,DB51194,Famotidine,CID89895,DB25700,334,Moderate,No,0.01,1,0.06,2,0.27
157,Phentermine,CID180503,DB42009,Topiramate,CID872293,DB11288,529,High,No,0.81,1,0.85,6,0.07
158,Progesterone,CID893487,DB38822,Spironolactone,CID356139,DB84359,33,Safe,Yes,0.26,1,0.22,1,0.87
159,Benazepril,CID161371,DB45641,Zolpidem,CID267269,DB22912,189,Low,No,0.64,0,0.62,9,0.16
160,Insulin Detemir,CID822203,DB74700,Alendronate,CID241349,DB57986,238,Moderate,No,0.58,0,0.85,1,0.29
161,Rimegepant,CID557300,DB92144,Metformin,CID188742,DB67468,705,High,No,0.86,0,0.32,8,0.59
162,Alprazolam,CID574837,DB92466,Bumetanide,CID212821,DB56063,417,Moderate,No,0.04,1,0.52,4,0.1
163,Betamethasone,CID860860,DB81150,Metoclopramide,CID370535,DB80551,75,Low,No,0.94,1,0.12,8,0.39
164,Amiodarone,CID179021,DB14592,Metformin,CID44689,DB37152,275,Moderate,No,0.08,0,0.13,1,0.73
165,Semaglutide,CID36362,DB28656,Simvastatin,CID355799,DB53694,660,High,No,0.48,0,0.38,5,0.24
166,Melatonin,CID199825,DB61967,Simvastatin,CID916910,DB33081,289,Moderate,No,0.86,1,0.32,2,0.34
167,Isosorbide,CID673746,DB38087,Valacyclovir,CID537230,DB80463,80,Low,No,0.96,0,0.44,2,0.76
168,Lisdexamfetamine,CID304852,DB34920,Esomeprazole,CID879559,DB54898,730,High,No,0.34,0,0.41,4,0.66
169,Methocarbamol,CID584395,DB46431,Promethazine,CID868496,DB67430,26,Safe,Yes,0.49,1,0.7,6,0.25
170,Mesalamine,CID836919,DB31462,Metformin,CID873626,DB84214,2,Safe,Yes,0.87,0,0.43,5,0.61
171,Apixaban,CID844353,DB57889,Simvastatin,CID624644,DB86696,791,High,No,0.09,1,0.81,2,0.39
172,Pantoprazole,CID604206,DB40498,Loratadine,CID746206,DB82522,598,High,No,0.09,1,0.83,10,0.68
173,Lithium,CID477428,DB62759,Sodium Fluoride,CID554718,DB91172,798,High,No,0.68,1,0.76,8,0.23
174,Fluoxetine,CID625880,DB10697,Linaclotide,CID171854,DB88701,403,Moderate,No,0.48,0,0.86,6,0.13
175,Calcium,CID308146,DB70490,Methocarbamol,CID487801,DB62886,694,High,No,0.53,0,0.94,0,0.6
176,Omega-3-acid Ethyl Esters,CID383098,DB22636,Celecoxib,CID328773,DB60462,329,Moderate,No,0.85,0,0.71,1,0.31
177,Chlorthalidone,CID554323,DB53886,Glipizide,CID990844,DB61580,343,Moderate,No,0.9,0,0.11,7,0.74
178,Ciprofloxacin,CID330330,DB82629,Brimonidine,CID85963,DB47249,703,High,No,0.61,1,0.91,3,0.66
179,Olopatadine,CID230666,DB16102,Cyanocobalamin,CID159194,DB95017,348,Moderate,No,0.38,0,0.4,7,0.02
180,Niacin,CID688064,DB83594,Chlorhexidine,CID695079,DB38879,263,Moderate,No,0.87,1,0.23,9,0.54
181,Brimonidine,CID840368,DB12329,Oxybutynin,CID416409,DB37767,173,Low,No,0.44,0,0.3,1,0.54
182,Paroxetine,CID427281,DB64626,Insulin Lispro,CID183950,DB32269,147,Low,No,0.65,1,0.5,1,0.85
183,Levothyroxine,CID373527,DB60370,Donepezil,CID325870,DB97377,647,High,No,0.19,1,0.89,1,0.22
184,Betamethasone; Clotrimazole,CID492374,DB85626,Bisacodyl,CID856616,DB83293,218,Moderate,No,0.61,0,0.44,0,0.32
185,Progesterone,CID857868,DB98483,Carbamazepine,CID339711,DB95150,193,Low,No,0.26,0,0.11,2,0.87
186,Sitagliptin,CID321364,DB23554,Lisdexamfetamine,CID654015,DB38534,133,Low,No,0.78,1,0.25,8,0.71
187,Tirzepatide,CID564419,DB34115,Linaclotide,CID472970,DB26186,760,High,No,0.22,1,0.3,4,0.36
188,Morphine,CID313980,DB16577,Trazodone,CID16610,DB13435,625,High,No,0.17,0,0.94,8,0.09
189,Ropinirole,CID98283,DB54964,Insulin Lispro,CID530505,DB43314,702,High,No,0.95,0,0.45,1,0.51
190,Linaclotide,CID840503,DB11710,Budesonide,CID598926,DB65269,157,Low,No,0.5,0,0.5,8,0.57
191,Loratadine; Pseudoephedrine,CID806819,DB92781,Calcitriol,CID587170,DB79572,289,Moderate,No,0.51,1,0.63,3,0.02
192,Mirtazapine,CID905375,DB32909,Dextroamphetamine,CID282207,DB85575,143,Low,No,0.53,0,1,6,0.73
193,Cholecalciferol,CID999005,DB79786,Calcitriol,CID57350,DB41867,730,High,No,0.51,0,0.65,3,1
194,Allopurinol,CID504420,DB87218,Dorzolamide,CID750465,DB13219,179,Low,No,0.92,1,0.89,10,0.81
195,Ivermectin,CID15930,DB12495,Levetiracetam,CID289222,DB14138,577,High,No,0.36,1,0.95,6,0.47
196,Ofloxacin,CID64385,DB79063,Benzonatate,CID411447,DB55388,354,Moderate,No,0.59,0,0.39,0,0.47
197,Pancrelipase Amylase; Pancrelipase Lipase; Pancrelipase Protease,CID113534,DB83816,Diphenhydramine,CID246012,DB58344,690,High,No,0.78,0,0.21,10,0.08
198,Aripiprazole,CID401139,DB37100,Erythromycin,CID905926,DB99388,630,High,No,0.05,1,0.55,7,0.68
199,Tiotropium,CID801889,DB54517,Polyethylene Glycol 3350,CID581449,DB85714,558,High,No,0.99,1,0.55,7,0.61
200,Norethindrone,CID194744,DB85720,Icosapent Ethyl,CID89696,DB57336,695,High,No,0.63,1,0.45,8,0.74
201,Colchicine,CID78031,DB72497,Adalimumab,CID326444,DB72229,690,High,No,0.1,0,0.22,0,0.68
202,Bumetanide,CID138097,DB67074,Ivermectin,CID237401,DB34079,318,Moderate,No,0.95,0,0.73,2,0.38
203,Norethindrone,CID127873,DB19158,Bimatoprost,CID507185,DB77051,599,High,No,0.1,0,0.7,3,0.15
204,Triamcinolone,CID591523,DB38254,Cyproheptadine,CID566488,DB96845,641,High,No,0.31,1,0.09,6,0.38
205,Bumetanide,CID635886,DB66952,Diclofenac,CID553898,DB14805,494,Moderate,No,0.54,1,0.69,4,0.02
206,Lorazepam,CID927440,DB10743,Clotrimazole,CID140733,DB69773,40,Safe,Yes,0.59,0,0.74,8,0.48
207,Verapamil,CID199479,DB30478,Flecainide,CID604495,DB70094,768,High,No,0.27,1,0.66,7,0.32
208,Chlorthalidone,CID21176,DB14961,Amlodipine; Benazepril,CID572681,DB93739,373,Moderate,No,0.5,0,0.13,0,0.69
209,Diazepam,CID521355,DB48177,Atenolol,CID272409,DB72862,610,High,No,0.97,0,0.58,1,0.74
210,Acetaminophen,CID312085,DB43408,Budesonide; Formoterol,CID474498,DB55168,732,High,No,0.93,0,0.31,10,0.11
211,Insulin Human; Insulin Isophane Human,CID526648,DB61534,Ivermectin,CID25891,DB69357,232,Moderate,No,0.52,0,0.03,4,0.02
212,Levothyroxine,CID256636,DB61912,Cephalexin,CID870183,DB18282,748,High,No,0.66,0,0.62,2,0.81
213,Loratadine,CID994544,DB27108,Pregabalin,CID676215,DB33957,644,High,No,0.89,0,0.22,5,0.51
214,Amlodipine; Benazepril,CID408308,DB71752,Tirzepatide,CID580810,DB11273,646,High,No,0.99,0,0.72,5,0.14
215,Ferrous Sulfate,CID268348,DB87480,Methimazole,CID418578,DB38822,514,High,No,0.67,1,0.07,10,0.15
216,Esomeprazole,CID151142,DB44394,Acetaminophen; Oxycodone,CID875627,DB93668,765,High,No,0.1,0,0.15,9,0.53
217,Simvastatin,CID429295,DB82890,Warfarin,CID88724,DB33121,573,High,No,0.32,0,0.51,8,0.5
218,Simvastatin,CID801869,DB97985,Cyanocobalamin,CID235662,DB75765,313,Moderate,No,0.65,0,0.62,0,0.31
219,Linagliptin,CID844481,DB16768,Ciprofloxacin; Dexamethasone,CID947595,DB28927,361,Moderate,No,0.82,0,0.86,6,0.84
220,Glipizide,CID296398,DB83560,Irbesartan,CID759184,DB74977,307,Moderate,No,0.76,1,0.38,0,0.18
